File Name,Actor ID,Sex,Sentence Code,Sentence,Emotion,Intensity,Duration (s)
1001_DFA_ANG_XX.wav,1001,Male,DFA,Don't forget a jacket.,Angry,Unspecified,2.28
1001_DFA_DIS_XX.wav,1001,Male,DFA,Don't forget a jacket.,Disgust,Unspecified,2.34
1001_DFA_FEA_XX.wav,1001,Male,DFA,Don't forget a jacket.,Fear,Unspecified,2.17
1001_DFA_HAP_XX.wav,1001,Male,DFA,Don't forget a jacket.,Happy,Unspecified,1.87
1001_DFA_NEU_XX.wav,1001,Male,DFA,Don't forget a jacket.,Neutral,Unspecified,2.04
1001_DFA_SAD_XX.wav,1001,Male,DFA,Don't forget a jacket.,Sad,Unspecified,2.0
1001_IEO_ANG_HI.wav,1001,Male,IEO,It's eleven o'clock.,Angry,HI,1.94
1001_IEO_ANG_LO.wav,1001,Male,IEO,It's eleven o'clock.,Angry,LO,2.07
1001_IEO_ANG_MD.wav,1001,Male,IEO,It's eleven o'clock.,Angry,MD,2.64
1001_IEO_DIS_HI.wav,1001,Male,IEO,It's eleven o'clock.,Disgust,HI,2.0
1001_IEO_DIS_LO.wav,1001,Male,IEO,It's eleven o'clock.,Disgust,LO,2.0
1001_IEO_DIS_MD.wav,1001,Male,IEO,It's eleven o'clock.,Disgust,MD,1.9
1001_IEO_FEA_HI.wav,1001,Male,IEO,It's eleven o'clock.,Fear,HI,1.57
1001_IEO_FEA_LO.wav,1001,Male,IEO,It's eleven o'clock.,Fear,LO,1.53
1001_IEO_FEA_MD.wav,1001,Male,IEO,It's eleven o'clock.,Fear,MD,1.6
1001_IEO_HAP_HI.wav,1001,Male,IEO,It's eleven o'clock.,Happy,HI,1.77
1001_IEO_HAP_LO.wav,1001,Male,IEO,It's eleven o'clock.,Happy,LO,1.7
1001_IEO_HAP_MD.wav,1001,Male,IEO,It's eleven o'clock.,Happy,MD,1.67
1001_IEO_NEU_XX.wav,1001,Male,IEO,It's eleven o'clock.,Neutral,Unspecified,1.6
1001_IEO_SAD_HI.wav,1001,Male,IEO,It's eleven o'clock.,Sad,HI,2.0
1001_IEO_SAD_LO.wav,1001,Male,IEO,It's eleven o'clock.,Sad,LO,1.9
1001_IEO_SAD_MD.wav,1001,Male,IEO,It's eleven o'clock.,Sad,MD,1.74
1001_IOM_ANG_XX.wav,1001,Male,IOM,I'm on my way to the meeting.,Angry,Unspecified,2.14
1001_IOM_DIS_XX.wav,1001,Male,IOM,I'm on my way to the meeting.,Disgust,Unspecified,2.27
1001_IOM_FEA_XX.wav,1001,Male,IOM,I'm on my way to the meeting.,Fear,Unspecified,2.84
1001_IOM_HAP_XX.wav,1001,Male,IOM,I'm on my way to the meeting.,Happy,Unspecified,2.0
1001_IOM_NEU_XX.wav,1001,Male,IOM,I'm on my way to the meeting.,Neutral,Unspecified,2.47
1001_IOM_SAD_XX.wav,1001,Male,IOM,I'm on my way to the meeting.,Sad,Unspecified,1.94
1001_ITH_ANG_XX.wav,1001,Male,ITH,I think I have a doctor's appointment.,Angry,Unspecified,2.37
1001_ITH_DIS_XX.wav,1001,Male,ITH,I think I have a doctor's appointment.,Disgust,Unspecified,2.17
1001_ITH_FEA_XX.wav,1001,Male,ITH,I think I have a doctor's appointment.,Fear,Unspecified,2.1
1001_ITH_HAP_XX.wav,1001,Male,ITH,I think I have a doctor's appointment.,Happy,Unspecified,2.47
1001_ITH_NEU_XX.wav,1001,Male,ITH,I think I have a doctor's appointment.,Neutral,Unspecified,2.6
1001_ITH_SAD_XX.wav,1001,Male,ITH,I think I have a doctor's appointment.,Sad,Unspecified,2.37
1001_ITS_ANG_XX.wav,1001,Male,ITS,I think I have seen this before,Angry,Unspecified,2.57
1001_ITS_DIS_XX.wav,1001,Male,ITS,I think I have seen this before,Disgust,Unspecified,2.2
1001_ITS_FEA_XX.wav,1001,Male,ITS,I think I have seen this before,Fear,Unspecified,2.14
1001_ITS_HAP_XX.wav,1001,Male,ITS,I think I have seen this before,Happy,Unspecified,2.2
1001_ITS_NEU_XX.wav,1001,Male,ITS,I think I have seen this before,Neutral,Unspecified,2.44
1001_ITS_SAD_XX.wav,1001,Male,ITS,I think I have seen this before,Sad,Unspecified,2.67
1001_IWL_ANG_XX.wav,1001,Male,IWL,I would like a new alarm clock.,Angry,Unspecified,3.17
1001_IWL_DIS_XX.wav,1001,Male,IWL,I would like a new alarm clock.,Disgust,Unspecified,2.57
1001_IWL_FEA_XX.wav,1001,Male,IWL,I would like a new alarm clock.,Fear,Unspecified,2.37
1001_IWL_HAP_XX.wav,1001,Male,IWL,I would like a new alarm clock.,Happy,Unspecified,2.1
1001_IWL_NEU_XX.wav,1001,Male,IWL,I would like a new alarm clock.,Neutral,Unspecified,2.84
1001_IWL_SAD_XX.wav,1001,Male,IWL,I would like a new alarm clock.,Sad,Unspecified,2.84
1001_IWW_ANG_XX.wav,1001,Male,IWW,I wonder what this is about.,Angry,Unspecified,2.28
1001_IWW_DIS_XX.wav,1001,Male,IWW,I wonder what this is about.,Disgust,Unspecified,2.07
1001_IWW_FEA_XX.wav,1001,Male,IWW,I wonder what this is about.,Fear,Unspecified,2.2
1001_IWW_HAP_XX.wav,1001,Male,IWW,I wonder what this is about.,Happy,Unspecified,1.97
1001_IWW_NEU_XX.wav,1001,Male,IWW,I wonder what this is about.,Neutral,Unspecified,2.27
1001_IWW_SAD_XX.wav,1001,Male,IWW,I wonder what this is about.,Sad,Unspecified,2.04
1001_MTI_ANG_XX.wav,1001,Male,MTI,Maybe tomorrow it will be cold.,Angry,Unspecified,3.0
1001_MTI_DIS_XX.wav,1001,Male,MTI,Maybe tomorrow it will be cold.,Disgust,Unspecified,2.94
1001_MTI_FEA_XX.wav,1001,Male,MTI,Maybe tomorrow it will be cold.,Fear,Unspecified,2.37
1001_MTI_HAP_XX.wav,1001,Male,MTI,Maybe tomorrow it will be cold.,Happy,Unspecified,2.37
1001_MTI_NEU_XX.wav,1001,Male,MTI,Maybe tomorrow it will be cold.,Neutral,Unspecified,2.3
1001_MTI_SAD_XX.wav,1001,Male,MTI,Maybe tomorrow it will be cold.,Sad,Unspecified,2.3
1001_TAI_ANG_XX.wav,1001,Male,TAI,The airplane is almost full.,Angry,Unspecified,2.34
1001_TAI_DIS_XX.wav,1001,Male,TAI,The airplane is almost full.,Disgust,Unspecified,2.74
1001_TAI_FEA_XX.wav,1001,Male,TAI,The airplane is almost full.,Fear,Unspecified,2.4
1001_TAI_HAP_XX.wav,1001,Male,TAI,The airplane is almost full.,Happy,Unspecified,2.5
1001_TAI_NEU_XX.wav,1001,Male,TAI,The airplane is almost full.,Neutral,Unspecified,2.57
1001_TAI_SAD_XX.wav,1001,Male,TAI,The airplane is almost full.,Sad,Unspecified,2.8
1001_TIE_ANG_XX.wav,1001,Male,TIE,That is exactly what happened.,Angry,Unspecified,3.1
1001_TIE_DIS_XX.wav,1001,Male,TIE,That is exactly what happened.,Disgust,Unspecified,2.2
1001_TIE_FEA_XX.wav,1001,Male,TIE,That is exactly what happened.,Fear,Unspecified,2.24
1001_TIE_HAP_XX.wav,1001,Male,TIE,That is exactly what happened.,Happy,Unspecified,2.3
1001_TIE_NEU_XX.wav,1001,Male,TIE,That is exactly what happened.,Neutral,Unspecified,2.54
1001_TIE_SAD_XX.wav,1001,Male,TIE,That is exactly what happened.,Sad,Unspecified,3.04
1001_TSI_ANG_XX.wav,1001,Male,TSI,The surface is slick.,Angry,Unspecified,2.5
1001_TSI_DIS_XX.wav,1001,Male,TSI,The surface is slick.,Disgust,Unspecified,2.17
1001_TSI_FEA_XX.wav,1001,Male,TSI,The surface is slick.,Fear,Unspecified,1.9
1001_TSI_HAP_XX.wav,1001,Male,TSI,The surface is slick.,Happy,Unspecified,2.17
1001_TSI_NEU_XX.wav,1001,Male,TSI,The surface is slick.,Neutral,Unspecified,2.44
1001_TSI_SAD_XX.wav,1001,Male,TSI,The surface is slick.,Sad,Unspecified,2.5
1001_WSI_ANG_XX.wav,1001,Male,WSI,We'll stop in a couple of minutes.,Angry,Unspecified,2.74
1001_WSI_DIS_XX.wav,1001,Male,WSI,We'll stop in a couple of minutes.,Disgust,Unspecified,2.67
1001_WSI_FEA_XX.wav,1001,Male,WSI,We'll stop in a couple of minutes.,Fear,Unspecified,2.34
1001_WSI_HAP_XX.wav,1001,Male,WSI,We'll stop in a couple of minutes.,Happy,Unspecified,2.28
1001_WSI_NEU_XX.wav,1001,Male,WSI,We'll stop in a couple of minutes.,Neutral,Unspecified,2.74
1001_WSI_SAD_XX.wav,1001,Male,WSI,We'll stop in a couple of minutes.,Sad,Unspecified,2.34
1002_DFA_ANG_XX.wav,1002,Female,DFA,Don't forget a jacket.,Angry,Unspecified,2.57
1002_DFA_DIS_XX.wav,1002,Female,DFA,Don't forget a jacket.,Disgust,Unspecified,2.54
1002_DFA_FEA_XX.wav,1002,Female,DFA,Don't forget a jacket.,Fear,Unspecified,2.74
1002_DFA_HAP_XX.wav,1002,Female,DFA,Don't forget a jacket.,Happy,Unspecified,2.2
1002_DFA_NEU_XX.wav,1002,Female,DFA,Don't forget a jacket.,Neutral,Unspecified,2.5
1002_DFA_SAD_XX.wav,1002,Female,DFA,Don't forget a jacket.,Sad,Unspecified,2.37
1002_IEO_ANG_HI.wav,1002,Female,IEO,It's eleven o'clock.,Angry,HI,2.74
1002_IEO_ANG_LO.wav,1002,Female,IEO,It's eleven o'clock.,Angry,LO,2.4
1002_IEO_ANG_MD.wav,1002,Female,IEO,It's eleven o'clock.,Angry,MD,2.77
1002_IEO_DIS_HI.wav,1002,Female,IEO,It's eleven o'clock.,Disgust,HI,3.0
1002_IEO_DIS_LO.wav,1002,Female,IEO,It's eleven o'clock.,Disgust,LO,2.87
1002_IEO_DIS_MD.wav,1002,Female,IEO,It's eleven o'clock.,Disgust,MD,2.6
1002_IEO_FEA_HI.wav,1002,Female,IEO,It's eleven o'clock.,Fear,HI,3.2
1002_IEO_FEA_LO.wav,1002,Female,IEO,It's eleven o'clock.,Fear,LO,2.6
1002_IEO_FEA_MD.wav,1002,Female,IEO,It's eleven o'clock.,Fear,MD,1.94
1002_IEO_HAP_HI.wav,1002,Female,IEO,It's eleven o'clock.,Happy,HI,2.5
1002_IEO_HAP_LO.wav,1002,Female,IEO,It's eleven o'clock.,Happy,LO,2.84
