Feature,Frame,Frame_Name,Correlation,Mutual Information
mfcc1,0,mfcc1_frame_0,0.03990341182366245,0.013877695543046631
mfcc1,1,mfcc1_frame_1,0.03523626108634218,0.008764234054929876
mfcc1,2,mfcc1_frame_2,0.02022587317226114,0.0059283800956482224
mfcc1,3,mfcc1_frame_3,-0.00438716076898957,0.006149215209451331
mfcc1,4,mfcc1_frame_4,-0.03051038948246202,0.015754137944615998
mfcc1,5,mfcc1_frame_5,-0.04706852932253975,0.014736145767233033
mfcc1,6,mfcc1_frame_6,-0.05648760600822157,0.01979305015039312
mfcc1,7,mfcc1_frame_7,-0.06043941267749599,0.014956490543301282
mfcc1,8,mfcc1_frame_8,-0.06127494780980728,0.0220174304361076
mfcc1,9,mfcc1_frame_9,-0.059941118291553956,0.019474117375437583
mfcc1,10,mfcc1_frame_10,-0.05762331012398154,0.011216662597137272
mfcc1,11,mfcc1_frame_11,-0.0537365058284998,0.009920181440218556
mfcc1,12,mfcc1_frame_12,-0.048732750972848994,0.014863624309177759
mfcc1,13,mfcc1_frame_13,-0.044484741048545225,0.010338238547286771
mfcc1,14,mfcc1_frame_14,-0.04120560629257906,0.01342774148460757
mfcc1,15,mfcc1_frame_15,-0.038012632237998986,0.01044213202122446
mfcc1,16,mfcc1_frame_16,-0.03521464854820321,0.008988957702312117
mfcc1,17,mfcc1_frame_17,-0.03372111109856511,0.008867596192576155
mfcc1,18,mfcc1_frame_18,-0.03306653950806024,0.011376542066146023
mfcc1,19,mfcc1_frame_19,-0.03324717327561967,0.010165235351776047
mfcc1,20,mfcc1_frame_20,-0.03270781222517151,0.010478895118144038
mfcc1,21,mfcc1_frame_21,-0.03263204673628145,0.01533647436958141
mfcc1,22,mfcc1_frame_22,-0.03356836718052647,0.011197900116440618
mfcc1,23,mfcc1_frame_23,-0.034109612706525,0.013429645938950685
mfcc1,24,mfcc1_frame_24,-0.03517138681008199,0.01587684268864553
mfcc1,25,mfcc1_frame_25,-0.03575747635308509,0.015000985420087876
mfcc1,26,mfcc1_frame_26,-0.03663887171590634,0.00871848938344888
mfcc1,27,mfcc1_frame_27,-0.037322917106429404,0.017897660366843482
mfcc1,28,mfcc1_frame_28,-0.037067416563508045,0.014199847146258104
mfcc1,29,mfcc1_frame_29,-0.03733505377392289,0.017724861321670282
mfcc1,30,mfcc1_frame_30,-0.0388613866822164,0.009683339728151719
mfcc1,31,mfcc1_frame_31,-0.03955078978530967,0.01804009024348341
mfcc1,32,mfcc1_frame_32,-0.03966118752592303,0.016207911128593544
mfcc1,33,mfcc1_frame_33,-0.038693392276011096,0.013754978541748564
mfcc1,34,mfcc1_frame_34,-0.038456108736539256,0.014481673116324423
mfcc1,35,mfcc1_frame_35,-0.0389020072370578,0.014360920472102467
