Feature,Mutual Information,Correlation
mfcc1,0.029769725195049723,-0.038632687377554445
mfcc2,0.02182324206598185,0.15558527310831896
mfcc3,0.05517863203425932,0.242455711523656
mfcc4,0.04558537142329255,0.2102052699845999
mfcc5,0.06791622636354333,0.24653216142559767
mfcc6,0.04390538172127334,0.2154784027372718
mfcc7,0.024432635652783752,0.15795130606384264
mfcc8,0.03855501041485665,0.16306244997541794
mfcc9,0.008662502479068745,0.06696686514550582
mfcc10,0.0037503609462525844,-0.04755296675987915
mfcc11,0.013271123831695153,0.05286367934112494
mfcc12,0.015458026172276984,-0.0793448572966992
mfcc13,0.011259140512015708,0.02808280687271265
zcr,0.03558547449733851,-0.20097587454689642
rms,0.017945947481752267,-0.011279992580803101
centroid,0.01780392513894613,-0.16026328002302412
bandwidth,0.02078969509013584,0.11336567019549798
rolloff,0.011169336408514585,-0.0726789140394058
spectral_contrast_band1,0.042471686602707504,0.2171880581844671
spectral_contrast_band2,0.043273056941866894,-0.18899708720634062
spectral_contrast_band3,0.021710427378702324,-0.044602470774529224
spectral_contrast_band4,0.026784613342058172,-0.15056867216299696
spectral_contrast_band5,0.040870595281316646,-0.17934718936836808
spectral_contrast_band6,0.03657240545836471,-0.18948689606775454
spectral_contrast_band7,0.010777084136628368,-0.05769016411144221
chroma1,0.050774237277737555,0.22279645043618895
chroma2,0.02696451553958701,0.159312824443333
chroma3,0.017574909169024266,0.13679286509734231
chroma4,0.024956772874554556,0.1292668668801299
chroma5,0.03277186873613136,0.14428293481654691
chroma6,0.037882524605096446,0.18311853564061614
chroma7,0.046933813211021747,0.21515349505100026
chroma8,0.06271044305867735,0.23686828267416057
chroma9,0.08293983081863088,0.268970487640584
chroma10,0.08551664608404197,0.27720580937775
chroma11,0.0835897768435947,0.2674916984087312
chroma12,0.06503926781885916,0.2506500057090007
